File_Name	gene	Cell Type	locus	WT_Avg_FPKM	KO_Avg_FPKM	log2_fold_change	p_value	adj_p_value	significant	WT_rep1_FPKM	WT_rep2_FPKM	WT_rep3_FPKM	KO_rep1_FPKM	KO_rep2_FPKM	KO_rep3_FPKM
File_1	Car3	Blood Endothelium	chr3:14863537-14872373	465.31	129.17	-1.84893	5.93E-12	4.25E-09	yes	794.928	268.926	304.476	15.1449	230.424	141.362
File_2	Ctgf	Blood Endothelium 	chr10:24595441-24598682	37.2639	22.9451	-0.69959	0.000306017	0.0239166	yes	39.1078	28.3465	41.8565	24.5312	24.8383	18.0014
File_3	Fabp4	Blood Endothelium 	chr3:10204342-10208576	128.586	69.0142	-0.897771	1.24E-05	0.00146387	yes	170.762	127.599	109.484	62.74	77.203	75.3092
File_4	Fabp5	Blood Endothelium 	chr3:10012605-10016610	142.478	83.1034	-0.77776	0.00018112	0.0150444	yes	195.253	67.1383	168.522	15.6312	101.443	132.621
File_5	Klk10	Blood Endothelium 	chr7:43781053-43785410	24.2807	9.03705	-1.42589	3.67E-07	6.31E-05	yes	26.125	12.0397	33.6276	0.846743	12.6699	13.5664
File_6	Mlf1	Blood Endothelium 	chr3:67374096-67400000	18.3635	4.40731	-2.05887	2.57E-08	5.67E-06	yes	34.3575	10.2284	14.0207	0.706497	8.04623	4.52638
File_7	Pdk4	Blood Endothelium 	chr6:5483350-5496278	9.72671	2.83732	-1.77742	6.48E-10	3.01E-07	yes	15.3707	4.63563	7.42372	1.81635	3.29388	3.2051
File_8	Rarres1	Blood Endothelium 	chr3:67478885-67515523	23.2937	10.7593	-1.11435	2.79E-05	0.00307416	yes	28.863	8.45406	29.8337	2.19881	15.9359	13.9469
File_9	Slc38a3	Blood Endothelium 	chr9:107651154-107668968	1.25028	0.31098	-2.00735	0.000595461	0.0417252	yes	2.05657	0.754262	0.965276	0.042657	0.426752	0.464218
File_10	St3gal4	Blood Endothelium 	chr9:35046572-35175987	54.934	95.5484	0.798533	0.000414974	0.0310573	yes	49.3726	63.5144	51.1378	109.35	77.8263	98.5944
File_11	A530098C11Rik	CD4 DC 	chr1:44009300-44020006	11.3308	3.02544	-1.90503	7.39E-05	0.00709903	yes	20.1372	6.62707	6.75809	0.175368	5.74342	3.15692
File_12	Cacng1	CD4 DC 	chr11:107703217-107716476	21.8562	7.14067	-1.61391	3.48E-07	6.04E-05	yes	35.9409	12.0748	16.1227	1.01295	10.116	10.2585
File_13	Cox6a2	CD4 DC 	chr7:128173945-128206366	39.26	12.5762	-1.64236	1.60E-06	0.000233727	yes	64.4083	19.8834	28.6781	1.93027	18.1101	17.531
File_14	Gm11563	CD4 DC 	chr11:99657941-99658959	5.00477	0.474914	-3.39756	1.47E-06	0.000219417	yes	5.86221	1.05575	7.2345	0	0.175664	1.24908
File_15	Hrc	CD4 DC 	chr7:45335268-45338972	9.39644	3.69219	-1.34764	6.07E-06	0.000784797	yes	22.4337	7.02093	8.46733	0.737658	6.346	4.37452
File_16	Ly6g6c	CD4 DC 	chr17:35062545-35070048	32.3802	15.6088	-1.05275	0.000142281	0.012171	yes	34.9374	17.6247	44.6609	3.19301	17.3337	26.3896
File_17	Myf6	CD4 DC 	chr10:107492859-107494729	6.03631	1.54239	-1.9685	5.06E-05	0.00508676	yes	11.5073	2.77959	4.16626	0.256039	2.40405	1.97339
File_18	Mylk2	CD4 DC 	chr2:152911351-152923065	6.10214	2.4857	-1.29567	6.66E-05	0.00647093	yes	11.9532	3.34332	5.03359	0.299203	3.77005	3.44094
File_19	Pgam2	CD4 DC 	chr11:5787963-5804820	101.923	30.8297	-1.72508	2.44E-07	4.61E-05	yes	189.503	60.9051	77.0304	3.85027	50.7573	38.0292
File_20	Prr9	CD4 DC 	chr3:92122203-92123947	6.51331	0.532655	-3.61212	3.87E-10	1.95E-07	yes	6.99801	2.03421	10.3398	0.156022	0.431058	1.00724
File_21	S100a3	CD4 DC 	chr3:90600214-90602702	6.25594	1.33995	-2.22304	9.04E-05	0.00839983	yes	7.37345	1.75476	9.75554	0.601353	1.0056	2.42637
File_22	"Saa1,Saa3"	"CD4 DC, Fibroblasts "	chr7:46711997-46743053	696.923	1402.52	1.00895	1.77E-06	0.000254025	yes	630.283	905.781	668.501	1759.35	1136.53	1623.78
File_23	Acta1	CD4 T 	chr8:123891766-123894736	1026.66	273.982	-1.9058	2.43E-08	5.43E-06	yes	1840	606.927	732.054	37.7086	428.375	358.102
File_24	Actc1	CD4 T 	chr2:114047288-114052811	20.2002	4.1997	-2.26601	4.07E-11	2.69E-08	yes	40.0618	9.33992	13.6043	2.04468	6.34901	4.33574
File_25	Adipoq	CD4 T 	chr16:23146535-23157968	3.62821	1.01269	-1.84106	0.000300789	0.0237237	yes	4.229	4.7601	2.30787	0.928658	0.561753	1.64439
File_26	Ano5	CD4 T 	chr7:51511028-51598709	1.18909	0.380072	-1.64552	8.79E-05	0.00820937	yes	1.82533	0.708184	0.87846	0.227394	0.537964	0.358163
File_27	Camk2b	CD4 T 	chr11:5969663-6065748	28.793	80.8781	1.49003	4.36E-13	3.75E-10	yes	20.4871	37.6606	27.8342	91.4548	78.4353	71.7295
File_28	Cmya5	CD4 T 	chr13:93040713-93144724	5.41929	1.97289	-1.45779	1.85E-09	6.58E-07	yes	10.7912	3.43168	4.08666	0.236125	3.46976	2.25782
File_29	Cst6	CD4 T 	chr19:5344704-5349574	35.2405	13.9259	-1.33946	2.25E-10	1.17E-07	yes	45.1668	17.5596	45.4197	1.34525	19.2591	21.2559
File_30	Cyp2d12	CD4 T 	chr15:82555046-82559756	12.4793	26.619	1.09292	1.76E-05	0.00200931	yes	10.1016	17.0079	10.7301	28.1098	21.221	31.6674
File_31	Gabrr2	CD4 T 	chr4:33063111-33095865	1.33511	0.12866	-3.37532	7.10E-06	0.00089139	yes	3.07293	0.586309	0.521265	0.0118152	0.287718	0.0871723
File_32	Krt25	CD4 T 	chr11:99315843-99322941	10.7499	1.68773	-2.67117	8.30E-10	3.57E-07	yes	12.4027	2.40678	19.5614	0.313319	1.00781	3.79278
File_33	Krt26	CD4 T 	chr11:99328483-99337965	0.396487	0.0208786	-4.24718	4.19E-05	0.00431857	yes	0.534617	0.07916	0.616122	0	0.0185401	0.0440956
File_34	Krt27	CD4 T 	chr11:99345565-99351094	8.12312	0.965082	-3.07331	6.58E-09	1.92E-06	yes	9.57524	2.3756	13.9302	0.132427	0.386974	2.39575
File_35	Krt31	CD4 T 	chr11:100046645-100050551	4.75308	0.709119	-2.74476	1.87E-06	0.000265438	yes	7.03064	0.966743	7.62557	0.0942161	0.260528	1.7915
File_36	Krt39	CD4 T 	chr11:99514623-99521258	0.560247	0.0401805	-3.80149	0.000267907	0.0212277	yes	0.857388	0.121874	0.846943	0	0.0356802	0.0848615
